MeasurementDate	metric	metrictype	Agency	numerator	denominator
2015-08-18	DaystoCash	Count	SR3	416.00	6.00
2015-10-06	DaystoCash	Count	ND2	933.00	7.00
2015-11-05	DaystoCash	Count	PVT	1293.00	10.00
2015-02-12	DaystoCash	Count	FAC	126.00	1.00
2015-04-15	DaystoCash	Count	PB1	508.00	8.00
2015-01-26	DaystoCash	Count	PR1	66.00	1.00
2015-10-02	DaystoCash	Count	HL1	265.00	3.00
2015-10-02	DaystoCash	Count	PVT	750.00	13.00
2015-11-23	DaystoCash	Count	HL1	197.00	5.00
2015-06-01	DaystoCash	Count	PVT	4185.00	50.00
2015-02-12	DaystoCash	Count	CR5	112.00	1.00
2014-12-31	DaystoCash	Count	PVT	500.00	10.00
2015-10-01	DaystoCash	Count	SS1	182.00	2.00
2015-06-08	DaystoCash	Count	PVT	188.00	1.00
2015-08-28	DaystoCash	Count	FA1	172.00	2.00
2014-12-30	DaystoCash	Count	PR1	142.00	3.00
2015-07-13	DaystoCash	Count	MID	280.00	1.00
2015-09-29	DaystoCash	Count	CDS	868.00	4.00
2015-06-26	DaystoCash	Count	MR5	414.00	2.00
2015-03-17	DaystoCash	Count	SE2	3835.00	54.00
2015-07-07	DaystoCash	Count	SK2	368.00	4.00
2015-05-05	DaystoCash	Count	ND2	1070.00	22.00
2015-10-13	DaystoCash	Count	PVT	81.00	3.00
2015-11-23	DaystoCash	Count	ND2	356.00	10.00
2015-10-27	DaystoCash	Count	PVT	5215.00	19.00
2015-09-28	DaystoCash	Count	CDR	115405.00	883.00
2015-07-10	DaystoCash	Count	ML2	84.00	1.00
2015-03-23	DaystoCash	Count	PVT	1450.00	15.00
2015-09-17	DaystoCash	Count	TL1	112.00	2.00
2015-11-16	DaystoCash	Count	ND2	152.00	2.00
2015-10-20	DaystoCash	Count	PVT	1505.00	19.00
2015-10-27	DaystoCash	Count	PB1	436.00	6.00
2015-07-14	DaystoCash	Count	PVT	5.00	1.00
2015-01-12	DaystoCash	Count	PVT	515.00	8.00
2015-02-03	DaystoCash	Count	PB1	884.00	10.00
2015-01-29	DaystoCash	Count	PVT	171.00	3.00
2015-08-11	DaystoCash	Count	SE2	102.00	1.00
2015-10-21	DaystoCash	Count	SR3	824.00	12.00
2015-03-19	DaystoCash	Count	PVT	703.00	8.00
2015-07-08	DaystoCash	Count	MRC	1749.00	31.00
2015-07-16	DaystoCash	Count	PVT	414.00	2.00
2015-03-17	DaystoCash	Count	HE6	234.00	4.00
2015-08-31	DaystoCash	Count	WS3	269.00	4.00
2015-07-28	DaystoCash	Count	CDS	3576.00	34.00
2015-02-13	DaystoCash	Count	SR3	440.00	6.00
2015-08-12	DaystoCash	Count	BR3	1134.00	6.00
2015-09-25	DaystoCash	Count	PB1	968.00	14.00
2015-07-08	DaystoCash	Count	FAC	212.00	1.00
2015-09-03	DaystoCash	Count	PVT	234.00	5.00
2015-10-22	DaystoCash	Count	WC1	5200.00	45.00
2015-11-25	DaystoCash	Count	CDS	4448.00	63.00
2015-08-31	DaystoCash	Count	SR3	308.00	4.00
2015-02-24	DaystoCash	Count	SE2	3026.00	42.00
2015-09-14	DaystoCash	Count	CDY	5113.00	34.00
2015-01-15	DaystoCash	Count	PE1	304.00	4.00
2015-11-24	DaystoCash	Count	SR3	63.00	1.00
2015-08-28	DaystoCash	Count	SE2	3986.00	53.00
2015-08-19	DaystoCash	Count	PVT	83.00	2.00
2015-11-06	DaystoCash	Count	HE6	484.00	10.00
2015-11-23	DaystoCash	Count	HE6	106.00	2.00
2015-07-29	DaystoCash	Count	CDS	679.00	6.00
2015-07-15	DaystoCash	Count	MID	13619.00	56.00
2015-07-14	DaystoCash	Count	MID	54542.00	208.00
2015-09-28	DaystoCash	Count	CDY	4304.00	32.00
2015-10-26	DaystoCash	Count	SR3	1140.00	3.00
2015-11-02	DaystoCash	Count	BR3	132.00	1.00
2015-11-24	DaystoCash	Count	PVT	2065.00	23.00
2015-04-29	DaystoCash	Count	PVT	140.00	2.00
2015-08-21	DaystoCash	Count	PVT	2.00	1.00
2015-10-19	DaystoCash	Count	PVT	556.00	2.00
2015-05-15	DaystoCash	Count	PVT	67.00	1.00
2015-11-25	DaystoCash	Count	CDR	15827.00	225.00
2015-01-05	DaystoCash	Count	LOG	21639.00	798.00
2015-10-12	DaystoCash	Count	PVT	1032.00	3.00
2015-06-05	DaystoCash	Count	KE3	417.00	5.00
2015-04-29	DaystoCash	Count	MR4	191.00	3.00
2015-06-22	DaystoCash	Count	LOG	144403.00	5507.00
2015-04-15	DaystoCash	Count	FA1	901.00	11.00
2015-04-15	DaystoCash	Count	HE6	424.00	8.00
2015-10-28	DaystoCash	Count	PVT	1272.00	4.00
2015-03-23	DaystoCash	Count	PR1	143.00	1.00
2015-06-26	DaystoCash	Count	PE1	118.00	4.00
2015-08-11	DaystoCash	Count	VG1	139.00	1.00
2015-07-13	DaystoCash	Count	PVT	2265.00	21.00
2015-11-04	DaystoCash	Count	PVT	393.00	1.00
2015-08-11	DaystoCash	Count	FA1	600.00	2.00
2015-02-27	DaystoCash	Count	PVT	1122.00	22.00
2015-11-13	DaystoCash	Count	PVT	4303.00	74.00
2015-06-01	DaystoCash	Count	SE2	4225.00	57.00
2015-08-11	DaystoCash	Count	SS1	482.00	6.00
2015-10-21	DaystoCash	Count	ND2	2914.00	27.00
2015-03-05	DaystoCash	Count	FAC	708.00	5.00
2015-02-27	DaystoCash	Count	PB1	290.00	4.00
2015-02-24	DaystoCash	Count	PVT	513.00	4.00
2015-01-12	DaystoCash	Count	FAC	283.00	3.00
2015-08-11	DaystoCash	Count	RR6	85.00	1.00
2015-07-06	DaystoCash	Count	WC1	972.00	12.00
2015-09-24	DaystoCash	Count	FA1	71.00	1.00
2015-07-07	DaystoCash	Count	PVT	4973.00	55.00
2015-04-15	DaystoCash	Count	PVT	4979.00	72.00
2015-02-05	DaystoCash	Count	PVT	493.00	8.00
2015-04-14	DaystoCash	Count	PVT	5.00	1.00
2015-05-01	DaystoCash	Count	PVT	1477.00	31.00
2015-01-21	DaystoCash	Count	PVT	173.00	4.00
2015-09-16	DaystoCash	Count	SY4	2286.00	14.00
2015-08-11	DaystoCash	Count	PVT	5910.00	42.00
2015-08-25	DaystoCash	Count	PVT	112.00	2.00
2015-02-23	DaystoCash	Count	SR3	1017.00	13.00
2015-10-12	DaystoCash	Count	LOG	96629.00	3618.00
2014-11-11	DaystoCash	Count	LOG	345.00	15.00
2015-02-03	DaystoCash	Count	FA1	47.00	1.00
