measurement_date	name	metric_type	agency	numerator	denominator
2015-07-14	DaysToCash	Count	MID	54542.00	208.00
2015-09-28	DaysToCash	Count	CDY	4304.00	32.00
2015-10-26	DaysToCash	Count	SR3	1140.00	3.00
2015-11-02	DaysToCash	Count	BR3	132.00	1.00
2015-11-24	DaysToCash	Count	PVT	2065.00	23.00
2015-04-29	DaysToCash	Count	PVT	140.00	2.00
2015-08-21	DaysToCash	Count	PVT	2.00	1.00
2015-05-15	DaysToCash	Count	PVT	67.00	1.00
2015-10-19	DaysToCash	Count	PVT	556.00	2.00
2015-11-25	DaysToCash	Count	CDR	15827.00	225.00
2015-01-05	DaysToCash	Count	LOG	21639.00	798.00
2015-10-12	DaysToCash	Count	PVT	1032.00	3.00
2015-06-05	DaysToCash	Count	KE3	417.00	5.00
2015-04-29	DaysToCash	Count	MR4	191.00	3.00
2015-06-22	DaysToCash	Count	LOG	144403.00	5507.00
2015-04-15	DaysToCash	Count	FA1	901.00	11.00
2015-04-15	DaysToCash	Count	HE6	424.00	8.00
2015-10-28	DaysToCash	Count	PVT	1272.00	4.00
2015-03-23	DaysToCash	Count	PR1	143.00	1.00
2015-06-26	DaysToCash	Count	PE1	118.00	4.00
2015-08-11	DaysToCash	Count	VG1	139.00	1.00
2015-07-13	DaysToCash	Count	PVT	2265.00	21.00
2015-11-04	DaysToCash	Count	PVT	393.00	1.00
2015-08-11	DaysToCash	Count	FA1	600.00	2.00
2015-02-27	DaysToCash	Count	PVT	1122.00	22.00
2015-11-13	DaysToCash	Count	PVT	4303.00	74.00
2015-06-01	DaysToCash	Count	SE2	4225.00	57.00
2015-08-11	DaysToCash	Count	SS1	482.00	6.00
2015-10-21	DaysToCash	Count	ND2	2914.00	27.00
2015-02-19	DaysToCash	Count	PVT	641.00	9.00
2015-02-12	DaysToCash	Count	MR5	112.00	2.00
2015-11-18	DaysToCash	Count	SG2	238.00	2.00
2015-05-11	DaysToCash	Count	LOG	90082.00	3520.00
2015-11-23	DaysToCash	Count	SK2	72.00	3.00
2015-03-17	DaysToCash	Count	PE1	400.00	4.00
2015-11-03	DaysToCash	Count	MR5	98.00	4.00
2015-01-26	DaysToCash	Count	SE2	6693.00	88.00
2015-08-11	DaysToCash	Count	SR3	2590.00	30.00
2015-11-18	DaysToCash	Count	FA1	343.00	1.00
2015-11-02	DaysToCash	Count	SK2	108.00	2.00
2015-10-06	DaysToCash	Count	FA1	724.00	4.00
2015-01-07	DaysToCash	Count	PVT	418.00	8.00
2015-09-18	DaysToCash	Count	PVT	67.00	2.00
2015-09-17	DaysToCash	Count	MRC	108.00	1.00
2015-11-09	DaysToCash	Count	CDY	446.00	2.00
2015-05-06	DaysToCash	Count	MID	57.00	1.00
2015-07-28	DaysToCash	Count	PVT	131.00	1.00
2015-09-17	DaysToCash	Count	SE2	214.00	2.00
2015-02-26	DaysToCash	Count	PVT	198.00	2.00
2015-10-26	DaysToCash	Count	LOG	115253.00	4083.00
2015-10-16	DaysToCash	Count	SR3	2295.00	7.00
2015-11-04	DaysToCash	Count	SE2	410.00	2.00
2015-11-04	DaysToCash	Count	MRC	381.00	1.00
2015-03-17	DaysToCash	Count	BR7	4272.00	40.00
2015-03-19	DaysToCash	Count	PB1	353.00	5.00
2015-07-29	DaysToCash	Count	CDR	6009.00	60.00
2015-05-05	DaysToCash	Count	MR5	548.00	10.00
2015-06-26	DaysToCash	Count	PVT	4979.00	39.00
2015-04-15	DaysToCash	Count	CRA	266.00	4.00
2015-11-10	DaysToCash	Count	CDR	33028.00	207.00
2015-06-26	DaysToCash	Count	FAC	492.00	2.00
2015-05-05	DaysToCash	Count	PVT	2185.00	44.00
2015-11-23	DaysToCash	Count	PVT	2329.00	25.00
2015-08-18	DaysToCash	Count	PB1	564.00	8.00
2015-08-12	DaysToCash	Count	BR7	710.00	8.00
2015-07-08	DaysToCash	Count	PB1	250.00	2.00
2015-11-13	DaysToCash	Count	CDS	273.00	1.00
2015-07-27	DaysToCash	Count	LOG	174348.00	7516.00
2015-10-05	DaysToCash	Count	MRC	351.00	1.00
2015-02-03	DaysToCash	Count	PVT	2564.00	35.00
2015-08-31	DaysToCash	Count	FAC	325.00	1.00
2015-02-03	DaysToCash	Count	HL1	248.00	4.00
2015-02-13	DaysToCash	Count	PB1	146.00	2.00
2015-11-17	DaysToCash	Count	KE3	780.00	2.00
2015-10-27	DaysToCash	Count	PB1	436.00	6.00
2015-07-14	DaysToCash	Count	PVT	5.00	1.00
2015-01-12	DaysToCash	Count	PVT	515.00	8.00
2015-02-03	DaysToCash	Count	PB1	884.00	10.00
2015-01-29	DaysToCash	Count	PVT	171.00	3.00
2015-08-11	DaysToCash	Count	SE2	102.00	1.00
2015-10-21	DaysToCash	Count	SR3	824.00	12.00
2015-03-19	DaysToCash	Count	PVT	703.00	8.00
2015-07-08	DaysToCash	Count	MRC	1749.00	31.00
2015-07-16	DaysToCash	Count	PVT	414.00	2.00
2015-03-17	DaysToCash	Count	HE6	234.00	4.00
2015-08-31	DaysToCash	Count	WS3	269.00	4.00
2015-07-28	DaysToCash	Count	CDS	3576.00	34.00
2015-02-13	DaysToCash	Count	SR3	440.00	6.00
2015-08-12	DaysToCash	Count	BR3	1134.00	6.00
2015-09-25	DaysToCash	Count	PB1	968.00	14.00
2015-07-08	DaysToCash	Count	FAC	212.00	1.00
2015-09-03	DaysToCash	Count	PVT	234.00	5.00
2015-10-22	DaysToCash	Count	WC1	5200.00	45.00
2015-08-31	DaysToCash	Count	SR3	308.00	4.00
2015-11-25	DaysToCash	Count	CDS	4448.00	63.00
2015-02-24	DaysToCash	Count	SE2	3026.00	42.00
2015-09-14	DaysToCash	Count	CDY	5113.00	34.00
2015-01-15	DaysToCash	Count	PE1	304.00	4.00
2015-11-24	DaysToCash	Count	SR3	63.00	1.00
2015-08-28	DaysToCash	Count	SE2	3986.00	53.00
2015-08-19	DaysToCash	Count	PVT	83.00	2.00
2015-11-06	DaysToCash	Count	HE6	484.00	10.00
2015-11-23	DaysToCash	Count	HE6	106.00	2.00
2015-07-29	DaysToCash	Count	CDS	679.00	6.00
2015-07-15	DaysToCash	Count	MID	13619.00	56.00
2015-09-14	DaysToCash	Count	CDS	93789.00	619.00
2015-11-09	DaysToCash	Count	CDR	42250.00	177.00
2015-07-06	DaysToCash	Count	SR1	164.00	2.00
2015-11-23	DaysToCash	Count	CDR	15267.00	120.00
2015-07-06	DaysToCash	Count	SK2	450.00	7.00
2015-01-07	DaysToCash	Count	PR1	108.00	2.00
2015-05-06	DaysToCash	Count	PVT	571.00	9.00
2015-04-03	DaysToCash	Count	TL1	238.00	2.00
2015-03-10	DaysToCash	Count	PVT	2731.00	35.00
2015-08-14	DaysToCash	Count	PVT	21.00	1.00
2015-09-14	DaysToCash	Count	LOG	263609.00	8069.00
2015-09-02	DaysToCash	Count	MID	1187.00	9.00
2015-01-21	DaysToCash	Count	SK2	126.00	2.00
2015-02-27	DaysToCash	Count	ND2	538.00	4.00
2015-06-26	DaysToCash	Count	MRC	58.00	1.00
2015-11-18	DaysToCash	Count	BR3	689.00	3.00
2015-05-05	DaysToCash	Count	MRC	64.00	1.00
2015-07-08	DaysToCash	Count	SK2	174.00	3.00
2015-09-15	DaysToCash	Count	PVT	1814.00	11.00
2015-06-02	DaysToCash	Count	RR6	292.00	4.00
2015-02-23	DaysToCash	Count	PB1	286.00	4.00
2015-11-19	DaysToCash	Count	SG2	510.00	4.00
2015-11-02	DaysToCash	Count	SY4	2384.00	20.00
2015-04-09	DaysToCash	Count	PVT	185.00	1.00
2015-03-13	DaysToCash	Count	SR3	5341.00	56.00
2015-02-27	DaysToCash	Count	SR3	654.00	9.00
2015-09-24	DaysToCash	Count	PVT	4125.00	78.00
2015-02-12	DaysToCash	Count	MRC	129.00	1.00
2015-11-25	DaysToCash	Count	TL1	1672.00	6.00
2015-08-18	DaysToCash	Count	SS1	124.00	2.00
2015-01-15	DaysToCash	Count	PVT	956.00	14.00
2015-03-10	DaysToCash	Count	RR6	1458.00	10.00
2015-09-17	DaysToCash	Count	PVT	3877.00	44.00
2015-09-24	DaysToCash	Count	MR5	192.00	4.00
2015-01-08	DaysToCash	Count	PVT	777.00	13.00
2015-07-06	DaysToCash	Count	FA1	178.00	2.00
2015-11-03	DaysToCash	Count	CDS	15005.00	139.00
2015-07-29	DaysToCash	Count	PVT	67.00	5.00
2015-09-16	DaysToCash	Count	HM1	100.00	1.00
2015-05-05	DaysToCash	Count	HE6	638.00	12.00
2015-08-18	DaysToCash	Count	SR3	416.00	6.00
2015-10-06	DaysToCash	Count	ND2	933.00	7.00
2015-11-05	DaysToCash	Count	PVT	1293.00	10.00
2015-02-12	DaysToCash	Count	FAC	126.00	1.00
2015-04-15	DaysToCash	Count	PB1	508.00	8.00
2015-01-26	DaysToCash	Count	PR1	66.00	1.00
2015-10-02	DaysToCash	Count	HL1	265.00	3.00
2015-10-02	DaysToCash	Count	PVT	750.00	13.00
2015-11-23	DaysToCash	Count	HL1	197.00	5.00
2015-06-01	DaysToCash	Count	PVT	4185.00	50.00
2015-02-12	DaysToCash	Count	CR5	112.00	1.00
2015-10-01	DaysToCash	Count	SS1	182.00	2.00
2015-06-08	DaysToCash	Count	PVT	188.00	1.00
2015-08-28	DaysToCash	Count	FA1	172.00	2.00
2015-07-13	DaysToCash	Count	MID	280.00	1.00
2015-09-29	DaysToCash	Count	CDS	868.00	4.00
2015-06-26	DaysToCash	Count	MR5	414.00	2.00
2015-03-17	DaysToCash	Count	SE2	3835.00	54.00
2015-07-07	DaysToCash	Count	SK2	368.00	4.00
2015-05-05	DaysToCash	Count	ND2	1070.00	22.00
2015-10-13	DaysToCash	Count	PVT	81.00	3.00
2015-11-23	DaysToCash	Count	ND2	356.00	10.00
2015-10-27	DaysToCash	Count	PVT	5215.00	19.00
2015-09-28	DaysToCash	Count	CDR	115405.00	883.00
2015-07-10	DaysToCash	Count	ML2	84.00	1.00
2015-03-23	DaysToCash	Count	PVT	1450.00	15.00
2015-09-17	DaysToCash	Count	TL1	112.00	2.00
2015-11-16	DaysToCash	Count	ND2	152.00	2.00
2015-10-20	DaysToCash	Count	PVT	1505.00	19.00
2015-01-05	DaysToCash	Count	PR1	61.00	1.00
2015-09-30	DaysToCash	Count	SE2	4614.00	49.00
2015-08-31	DaysToCash	Count	HE6	579.00	8.00
2015-10-22	DaysToCash	Count	PVT	4088.00	58.00
2015-08-11	DaysToCash	Count	PR1	425.00	2.00
2015-03-03	DaysToCash	Count	PVT	2057.00	39.00
2015-05-27	DaysToCash	Count	PVT	10.00	2.00
2015-03-05	DaysToCash	Count	PVT	1290.00	25.00
2015-11-06	DaysToCash	Count	SR3	118.00	2.00
2015-11-02	DaysToCash	Count	BR7	1083.00	16.00
2015-08-11	DaysToCash	Count	BR7	1528.00	16.00
2015-06-08	DaysToCash	Count	LOG	195117.00	4379.00
2015-07-13	DaysToCash	Count	SR3	470.00	6.00
2015-10-26	DaysToCash	Count	PB1	944.00	4.00
2015-07-08	DaysToCash	Count	LR5	209.00	3.00
2015-05-25	DaysToCash	Count	LOG	106792.00	4014.00
2015-05-08	DaysToCash	Count	PVT	441.00	8.00
2015-11-18	DaysToCash	Count	SE2	7701.00	115.00
2015-11-09	DaysToCash	Count	PVT	1682.00	5.00
2015-08-18	DaysToCash	Count	PVT	1389.00	21.00
2015-01-12	DaysToCash	Count	MR5	645.00	11.00
2015-07-13	DaysToCash	Count	MR5	560.00	10.00
2015-11-06	DaysToCash	Count	CDS	70052.00	324.00
2015-01-06	DaysToCash	Count	PR1	60.00	1.00
2015-04-28	DaysToCash	Count	PB1	438.00	6.00
2015-10-23	DaysToCash	Count	PVT	747.00	11.00
2015-08-17	DaysToCash	Count	LOG	96407.00	3637.00
2015-03-16	DaysToCash	Count	LOG	119047.00	4464.00
2015-04-03	DaysToCash	Count	SR3	4431.00	61.00
2015-03-17	DaysToCash	Count	BR3	662.00	6.00
2015-09-25	DaysToCash	Count	SK2	392.00	6.00
2015-06-30	DaysToCash	Count	PVT	69.00	1.00
2015-07-06	DaysToCash	Count	SE2	5146.00	62.00
2015-07-07	DaysToCash	Count	BR7	4582.00	35.00
2015-07-08	DaysToCash	Count	ND2	1821.00	22.00
2015-04-15	DaysToCash	Count	BR7	270.00	2.00
2015-03-19	DaysToCash	Count	SR3	144.00	2.00
2015-10-14	DaysToCash	Count	FAC	363.00	1.00
2015-04-15	DaysToCash	Count	ND2	1030.00	18.00
2015-02-12	DaysToCash	Count	HE6	222.00	4.00
2015-01-12	DaysToCash	Count	HE6	1364.00	19.00
2015-10-22	DaysToCash	Count	HE6	500.00	8.00
2015-10-23	DaysToCash	Count	WC1	1721.00	8.00
2015-09-17	DaysToCash	Count	MP1	91.00	1.00
2015-11-09	DaysToCash	Count	CDS	104552.00	440.00
2015-03-17	DaysToCash	Count	CDS	94.00	2.00
2015-02-24	DaysToCash	Count	ND2	1968.00	29.00
2015-11-13	DaysToCash	Count	CDR	1665.00	10.00
2015-07-16	DaysToCash	Count	MID	78382.00	330.00
2015-11-18	DaysToCash	Count	MRC	400.00	1.00
2015-10-26	DaysToCash	Count	PVT	2072.00	6.00
2015-11-06	DaysToCash	Count	BR3	691.00	3.00
2015-03-12	DaysToCash	Count	FAC	292.00	2.00
2015-07-06	DaysToCash	Count	BR7	118.00	1.00
2015-11-25	DaysToCash	Count	PVT	1262.00	13.00
2015-02-03	DaysToCash	Count	SS1	552.00	6.00
2015-11-03	DaysToCash	Count	MRC	331.00	6.00
2015-06-26	DaysToCash	Count	SR3	336.00	4.00
2015-09-17	DaysToCash	Count	SR3	1681.00	19.00
2015-11-23	DaysToCash	Count	CDS	2755.00	22.00
2015-10-09	DaysToCash	Count	PVT	179.00	2.00
2015-11-23	DaysToCash	Count	LOG	15706.00	764.00
2015-10-23	DaysToCash	Count	MID	648.00	2.00
2015-05-06	DaysToCash	Count	QR1	128.00	2.00
2015-10-22	DaysToCash	Count	SR3	154.00	2.00
2015-11-20	DaysToCash	Count	BR7	758.00	2.00
2015-07-17	DaysToCash	Count	MID	93623.00	628.00
2015-07-17	DaysToCash	Count	PVT	130.00	1.00
2015-10-27	DaysToCash	Count	KE3	150.00	2.00
2015-01-08	DaysToCash	Count	LOG	80330.00	2487.00
2015-05-28	DaysToCash	Count	PVT	205.00	3.00
2015-10-06	DaysToCash	Count	PVT	8101.00	103.00
2015-07-07	DaysToCash	Count	SE2	5516.00	103.00
2015-10-06	DaysToCash	Count	MR4	658.00	2.00
2015-07-09	DaysToCash	Count	NB1	79.00	1.00
2015-03-13	DaysToCash	Count	PB1	288.00	4.00
2015-10-05	DaysToCash	Count	PVT	30.00	1.00
2015-05-05	DaysToCash	Count	SS1	142.00	2.00
2015-09-24	DaysToCash	Count	ND2	78.00	2.00
2015-04-27	DaysToCash	Count	PVT	170.00	3.00
2015-10-22	DaysToCash	Count	PB1	720.00	10.00
